frase,situacao
Sinus arrhythmia with interpolated PVC(s),baixo risco
Probable sinus tachycardia.,baixo risco
Sinus bradycardia with PVC(s) with PAC(s),baixo risco
Sinus arrhythmia with PVC(s),baixo risco
Sinus bradycardia with 1st degree A-V block.,baixo risco
Sinus tachycardia with frequent multifocal PVCs.,baixo risco
Sinus tachycardia with PVCs,baixo risco
Sinus tachycardia with PVC(s).,baixo risco
Sinus bradycardia with PVC(s).,baixo risco
Sinus bradycardia with frequent multifocal PVCs,baixo risco
Possible junctional rhythm,baixo risco
Possible junctional rhythm.,baixo risco
Sinus bradycardia with PAC(s) with borderline 1st degree A-V block,baixo risco
SINUS ARRHYTHMIA,baixo risco
Sinus tachycardia with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with frequent PVCs.,baixo risco
Sinus tachycardia with sinus arrhythmia with frequent PVCs,baixo risco
Sinus arrhythmia with PVCs with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with PVC(s),baixo risco
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block,baixo risco
Sinus rhythm with PAC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with 1st degree A-V block,baixo risco
Accelerated idioventricular rhythm.,alto risco
Probable ventricular tachycardia.,alto risco
Sinus arrhythmia with multifocal PVCs,baixo risco
Sinus bradycardia with PVCs.,baixo risco
Probable supraventricular tachycardia,alto risco
Sinus arrhythmia with 1st degree A-V block.,baixo risco
Sinus arrhythmia with 1st degree A-V block,baixo risco
Sinus tachycardia with PVC(s) with PAC(s).,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes,baixo risco
Possible accelerated junctional rhythm,baixo risco
Sinus arrhythmia with PVCs,baixo risco
Irregular sinus tachycardia,baixo risco
Sinus tachycardia with PVC(s) with PAC(s),baixo risco
Sinus bradycardia with sinus arrhythmia.,baixo risco
Sinus tachycardia with PVC(s),baixo risco
Sinus arrhythmia with frequent PVCs,baixo risco
Sinus bradycardia with frequent PVCs,baixo risco
Sinus bradycardia with multifocal PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with PVC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with frequent PVCs,baixo risco
Sinus tachycardia with sinus arrhythmia.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s).,baixo risco
Sinus tachycardia with PAC(s) with borderline 1st degree A-V block,baixo risco
IRREGULAR SINUS BRADYCARDIA,baixo risco
Sinus tachycardia with PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with multifocal PVCs with 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes,baixo risco
Sinus tachycardia with multifocal PVCs with PAC(s).,baixo risco
Sinus tachycardia with frequent PACs.,baixo risco
Sinus tachycardia with multifocal PVCs,baixo risco
Sinus tachycardia with 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with frequent multifocal PVCs,baixo risco
Atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes.,baixo risco
Sinus tachycardia with PVCs.,baixo risco
Sinus tachycardia with multifocal PVCs.,baixo risco
Probable junctional rhythm,baixo risco
Probable junctional rhythm.,baixo risco
Sinus tachycardia with sinus arrhythmia with frequent PVCs.,baixo risco
Sinus bradycardia with frequent PVCs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with PVCs with PACs.,baixo risco
Sinus bradycardia with frequent PVCs.,baixo risco
Sinus arrhythmia with PVC(s).,baixo risco
Sinus bradycardia with PVCs with PACs,baixo risco
Marked sinus bradycardia.,baixo risco
Supraventricular tachycardia,alto risco
Sinus tachycardia with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with multifocal PVCs,baixo risco
Sinus bradycardia with sinus arrhythmia with frequent PVCs with 1st degree A-V block.,baixo risco
Sinus bradycardia with multifocal interpolated PVCs,baixo risco
Sinus rhythm with PAC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia - consider sinus rhythm with 2:1 S-A block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PACs.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes.,baixo risco
Sinus bradycardia with PVCs,baixo risco
Sinus bradycardia with interpolated PVC(s).,baixo risco
Sinus tachycardia with occasional PACs,baixo risco
Sinus bradycardia with sinus arrhythmia with PAC(s),baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVC(s),baixo risco
Atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus rhythm with PAC(s) with 1st degree A-V block.,baixo risco
Sinus rhythm with PACs with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with frequent PACs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s).,baixo risco
Sinus bradycardia with interpolated PVCs,baixo risco
Sinus tachycardia with PVCs with PACs,baixo risco
Sinus tachycardia with multifocal PVCs with PACs.,baixo risco
Fast sinus arrhythmia,baixo risco
Sinus bradycardia with PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with PACs with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with interpolated PVCs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with irregular rate,baixo risco
PROBABLE ACCELERATED JUNCTIONAL RHYTHM,baixo risco
Sinus rhythm with PACs with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with PVC(s) with borderline 1st degree A-V block,baixo risco
Atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with sinus arrhythmia with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with PVC(s) with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with sinus arrhythmia with interpolated PVCs,baixo risco
Sinus tachycardia with sinus arrhythmia with paroxysmal idioventricular rhythm or aberrant ventricular conduction,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s),baixo risco
Sinus tachycardia with frequent multifocal PVCs,baixo risco
Sinus arrhythmia with fusion complexes,baixo risco
Sinus bradycardia with PAC(s) with 1st degree A-V block.,baixo risco
Complete AV block with wide QRS complex,alto risco
Sinus arrhythmia with PVC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block,baixo risco
Possible accelerated junctional rhythm.,baixo risco
Sinus arrhythmia with PVCs with borderline 1st degree A-V block.,baixo risco
Probable sinus tachycardia with aberrantly conducted supraventricular complexes,baixo risco
Sinus bradycardia with sinus arrhythmia with PVC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with PVCs with borderline 1st degree A-V block,baixo risco
Sinus rhythm with PACs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with PACs.,baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with 1st degree A-V block.,baixo risco
Sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with 1st degree A-V block,baixo risco
Sinus arrhythmia with PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with PACs with 1st degree A-V block.,baixo risco
Wide complex tachycardia,alto risco
Sinus arrhythmia with PVC(s) with 1st degree A-V block.,baixo risco
Sinus arrhythmia with frequent PVCs.,baixo risco
Sinus bradycardia with PACs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with frequent PVCs with 1st degree A-V block.,baixo risco
IRREGULAR SINUS TACHYCARDIA,baixo risco
Sinus tachycardia with PAC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s),baixo risco
Sinus bradycardia with PACs with 1st degree A-V block,baixo risco
Sinus arrhythmia with PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVC(s).,baixo risco
Sinus bradycardia with frequent multifocal PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with PVCs with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with frequent multifocal PVCs,baixo risco
Sinus tachycardia with sinus arrhythmia with PVC(s).,baixo risco
Sinus bradycardia with sinus arrhythmia with PVCs,baixo risco
Sinus tachycardia with PAC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PVCs.,baixo risco
Sinus bradycardia with interpolated PVC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with PVC(s) with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with multifocal PVCs with PAC(s),baixo risco
Sinus tachycardia with PACs with borderline 1st degree A-V block.,baixo risco
Sinus rhythm with non-sustained ventricular tachycardia.,alto risco
Probable A-V junctional rhythm,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs,baixo risco
Sinus tachycardia with PACs with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PVC(s).,baixo risco
Sinus bradycardia with sinus arrhythmia with multifocal interpolated PVCs.,baixo risco
Sinus arrhythmia with frequent multifocal PVCs with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with multifocal PVCs.,baixo risco
Sinus tachycardia with occasional PACs.,baixo risco
Sinus tachycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block,baixo risco
POSSIBLE ACCELERATED JUNCTIONAL RHYTHM,baixo risco
Sinus arrhythmia with multifocal PVCs.,baixo risco
Sinus tachycardia with sinus arrhythmia with 1st degree A-V block,baixo risco
Sinus bradycardia with PVCs with PACs with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block,baixo risco
Probable sinus tachycardia with PVCs.,baixo risco
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s),baixo risco
Sinus tachycardia with interpolated PVCs.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs.,baixo risco
Sinus tachycardia with sinus arrhythmia with frequent multifocal PVCs.,baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s).,baixo risco
Probable sinus tachycardia with PVC(s),baixo risco
Sinus arrhythmia with frequent PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs with PACs,baixo risco
Sinus bradycardia with multifocal PVCs with PAC(s),baixo risco
Atrial fibrillation with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block.,baixo risco
Atrial fibrillation with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with varying 2nd degree A-V block with PVC(s),baixo risco
Sinus rhythm with PACs with 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with PAC(s).,baixo risco
Sinus arrhythmia with interpolated PVC(s).,baixo risco
Sinus bradycardia with sinus arrhythmia with PACs with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PAC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with multifocal PVCs,baixo risco
Sinus tachycardia with PVCs with PACs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with frequent PVCs with PACs,baixo risco
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVC(s),baixo risco
Sinus bradycardia with PVC(s) with 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with borderline 1st degree A-V block,baixo risco
Probable accelerated junctional rhythm with PVCs,baixo risco
Sinus bradycardia with frequent PVCs with 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with intermittent conduction defect,baixo risco
Sinus bradycardia with PVCs with PACs.,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVC(s).,baixo risco
Sinus bradycardia with PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with paroxysmal idioventricular rhythm,baixo risco
Probable accelerated junctional rhythm with PVC(s),baixo risco
Sinus bradycardia with occasional PACs with 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s) with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes.,baixo risco
Sinus tachycardia with PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes.,baixo risco
Sinus bradycardia with interpolated PVCs.,baixo risco
SINUS BRADYCARDIA. CONSIDER 2:1 SINO-ATRIAL BLOCK.,baixo risco
Atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with PVC(s) with PAC(s).,baixo risco
Sinus tachycardia with frequent multifocal PVCs with PACs.,baixo risco
Sinus tachycardia with PVC(s) with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with frequent PVCs with PAC(s).,baixo risco
Sinus tachycardia with paroxysmal idioventricular rhythm.,baixo risco
Sinus bradycardia with sinus arrhythmia with frequent PVCs with 1st degree A-V block,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs with PACs.,baixo risco
Sinus bradycardia with intermittent conduction defect.,baixo risco
Sinus bradycardia with sinus arrhythmia with PACs,baixo risco
Sinus arrhythmia with PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with multifocal interpolated PVCs.,baixo risco
Sinus arrhythmia with frequent PVCs with 1st degree A-V block,baixo risco
A-flutter/fibrillation w/ complete AV block,alto risco
Sinus bradycardia with sinus arrhythmia with frequent PVCs,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PAC(s).,baixo risco
Sinus bradycardia with sinus arrhythmia with PACs.,baixo risco
Probable sinus tachycardia with PVC(s).,baixo risco
Sinus bradycardia with interpolated PVCs with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with occasional PACs.,baixo risco
Sinus bradycardia with PVCs with PACs with 1st degree A-V block.,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with multifocal PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with PVCs with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with multifocal PVCs,baixo risco
Sinus arrhythmia with interpolated PVCs,baixo risco
Sinus bradycardia with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with sinus arrhythmia with multifocal PVCs,baixo risco
Sinus tachycardia with frequent PVCs with PACs.,baixo risco
Sinus tachycardia with sinus arrhythmia with PVCs,baixo risco
Sinus arrhythmia with interpolated PVCs.,baixo risco
Sinus bradycardia with frequent PACs,baixo risco
Sinus tachycardia with sinus arrhythmia with PAC(s),baixo risco
ACCELERATED IDIOVENTRICULAR RHYTHM,alto risco
Sinus bradycardia with sinus arrhythmia with undetermined irregularity with 1st degree A-V block,baixo risco
Sinus tachycardia with frequent PVCs with PAC(s),baixo risco
Sinus bradycardia with sinus arrhythmia with PACs with 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with PACs.,baixo risco
Sinus tachycardia with sinus arrhythmia with intermittent conduction defect with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with paroxysmal idioventricular rhythm.,baixo risco
Sinus tachycardia with frequent multifocal PVCs with PAC(s),baixo risco
Sinus arrhythmia with multifocal interpolated PVCs,baixo risco
Atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
PROBABLE JUNCTIONAL RHYTHM,baixo risco
Sinus tachycardia with frequent multifocal PVCs with PAC(s).,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,baixo risco
SINUS BRADYCARDIA. CONSIDER SINUS RHYTHM WITH 2:1 SINO-ATRIAL BLOCK.,baixo risco
Sinus bradycardia with frequent PACs with 1st degree A-V block.,baixo risco
Sinus arrhythmia with frequent multifocal PVCs.,baixo risco
Sinus arrhythmia with multifocal interpolated PVCs.,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes.,baixo risco
Sinus bradycardia with sinus arrhythmia with undetermined irregularity.,baixo risco
Sinus tachycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with PVCs with PACs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with fusion complexes with PAC(s),baixo risco
Probable supraventricular tachycardia with PVC(s),alto risco
Sinus bradycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with interpolated PVC(s),baixo risco
Sinus tachycardia with sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with interpolated PVCs with 1st degree A-V block,baixo risco
WIDE COMPLEX TACHYCARDIA - POSSIBLE SUPRAVENTRICULAR TACHYCARDIA,alto risco
Probable sinus tachycardia with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with sinus arrhythmia with frequent multifocal PVCs,baixo risco
Possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with interpolated PVC(s) with PAC(s),baixo risco
Sinus rhythm with non-sustained ventricular tachycardia with PAC(s).,alto risco
Sinus bradycardia with sinus arrhythmia with multifocal interpolated PVCs,baixo risco
Sinus bradycardia with paroxysmal idioventricular rhythm.,baixo risco
"Sinus bradycardia with sinus arrhythmia with 2nd degree A-V block, Mobitz II.",baixo risco
Probable sinus tachycardia with PVCs,baixo risco
Sinus bradycardia with multifocal PVCs.,baixo risco
Sinus tachycardia with frequent PVCs with borderline 1st degree A-V block,baixo risco
Probable accelerated junctional rhythm with PVC(s).,baixo risco
PROBABLE SUPRAVENTRICULAR TACHYCARDIA,alto risco
Sinus arrhythmia with intermittent conduction defect,baixo risco
Probable accelerated junctional rhythm with PVCs.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVCs,baixo risco
Sinus tachycardia with PVCs with PACs with 1st degree A-V block,baixo risco
Sinus arrhythmia with fusion complexes with 1st degree A-V block,baixo risco
PROBABLE A-V JUNCTIONAL RHYTHM,baixo risco
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with 1st degree A-V block,baixo risco
Probable accelerated junctional rhythm with paroxysmal idioventricular rhythm,baixo risco
Sinus tachycardia with non-sustained ventricular tachycardia,alto risco
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with interpolated PVC(s).,baixo risco
Sinus tachycardia with sinus arrhythmia with PVCs.,baixo risco
Sinus bradycardia with fusion complexes with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,baixo risco
Sinus bradycardia with multifocal interpolated PVCs with 1st degree A-V block,baixo risco
Sinus tachycardia with multifocal PVCs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with PVCs with PACs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with PVCs with borderline 1st degree A-V block,baixo risco
PROBABLE SINUS TACHYCARDIA. ? ATRIAL TACHYCARDIA OR FLUTTER + 2:1 A-V BLOCK,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs,baixo risco
Possible ectopic atrial tachycardia with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with PVCs with occasional PACs.,baixo risco
Sinus tachycardia with intermittent conduction defect,baixo risco
Sinus tachycardia with intermittent conduction defect.,baixo risco
Sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with frequent PVCs with borderline 1st degree A-V block.,baixo risco
Possible accelerated junctional rhythm with PVC(s).,baixo risco
Sinus tachycardia with sinus arrhythmia with PVCs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with PVC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with frequent PVCs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block.,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PAC(s),baixo risco
Sinus tachycardia with paroxysmal idioventricular rhythm,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with PVC(s),baixo risco
Sinus bradycardia with PVC(s) with PAC(s) with 1st degree A-V block,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs.,baixo risco
Sinus bradycardia with frequent PACs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with PACs,baixo risco
Sinus bradycardia with interpolated PVC(s) with borderline 1st degree A-V block,baixo risco
Probable accelerated junctional rhythm with frequent PVCs.,baixo risco
Sinus arrhythmia with frequent PVCs with borderline 1st degree A-V block,baixo risco
"Sinus tachycardia with sinus arrhythmia with 2nd degree A-V block, Mobitz II.",baixo risco
Sinus bradycardia with occasional PACs,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs.,baixo risco
Sinus tachycardia with PVC(s) with PAC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with frequent multifocal PVCs.,baixo risco
Sinus rhythm with PACs with PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with PVCs with 1st degree A-V block.,baixo risco
PROBABLE SINUS TACHYCARDIA.CONSIDER FLUTTER AND/OR 2:1 A-V BLOCK,baixo risco
Sinus arrhythmia with interpolated PVC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PVCs with 1st degree A-V block.,baixo risco
Sinus bradycardia with PVC(s) with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with interpolated PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with interpolated PVC(s) with 1st degree A-V block.,baixo risco
Sinus arrhythmia with interpolated PVCs with 1st degree A-V block,baixo risco
Probable atrial fibrillation with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with sinus arrhythmia with PAC(s) with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with frequent PVCs.,baixo risco
Possible accelerated junctional rhythm with intermittent conduction defect,baixo risco
Sinus tachycardia with multifocal PVCs with PACs,baixo risco
Sinus bradycardia with sinus arrhythmia with PACs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PAC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with borderline 1st degree A-V block,baixo risco
Possible accelerated junctional rhythm with paroxysmal idioventricular rhythm,baixo risco
Sinus tachycardia with frequent multifocal PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block.,baixo risco
Sinus rhythm with non-sustained ventricular tachycardia with 1st degree A-V block.,alto risco
Possible accelerated junctional rhythm with interpolated PVCs,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVCs,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with multifocal PVCs with PAC(s) with 1st degree A-V block.,baixo risco
Sinus bradycardia with PVCs with occasional PACs with 1st degree A-V block,baixo risco
