frase,situacao
Extensive ST elevation,alto risco
*** SEPTAL INFARCT - POSSIBLY ACUTE ***,alto risco
"Borderline ST elevation, lateral leads",alto risco
Possible old inferior infarct,alto risco
Inferior/lateral T changes are abnormal for age/sex,baixo risco
Extensive ST-T changes suggest myocardial infarct,alto risco
FREQUENT SUPRAVENTRICULAR EXTRASYSTOLES,alto risco
"Posterior infarct, old",alto risco
Inferior and lateral ST elevation - repeat if myocardial injury is suspected,alto risco
Possible anterior infarct,alto risco
Probable inferior infarct - age undetermined,alto risco
Consider old septal infarct,alto risco
Borderline high QRS voltage - probable normal variant,baixo risco
"Probable anterolateral infarct, age indeterm",alto risco
"ST elevation, consider anterolateral injury",alto risco
POSSIBLE ACUTE ANTERIOR INFARCT,alto risco
Anterior ST elevation - cannot rule out myocardial injury,alto risco
Possible recent anterior infarct,alto risco
PROBABLE NORMAL VARIANT,baixo risco
Ant/septal and lateral T wave changes suggest myocardial infarct,alto risco
- frequent supraventricular extrasystoles,alto risco
Probable old inferior infarct,alto risco
"Inferior infarct, acute",alto risco
ANTERIOR INFARCTION - AGE UNDETERMINED,alto risco
"Probable anteroseptal infarct, recent",alto risco
"Inferoposterior infarct, recent",alto risco
"Anteroseptal ST elevation, consider recent infarction",alto risco
*** INFERIOR INFARCT - POSSIBLY ACUTE ***,alto risco
PROBABLE ABERRANTLY CONDUCTED SUPRAVENTRICULAR EXTRASYSTOLES,alto risco
SINO-ATRIAL 2nd DEGREE MOBITZ II BLOCK,alto risco
Extensive ST-T changes are abnormal for age/sex,baixo risco
"Anterolateral infarct, acute",alto risco
*** ANTEROLATERAL INFARCT - POSSIBLY ACUTE ***,alto risco
POSSIBLE ACUTE ANTEROSEPTAL INFARCT,alto risco
Nonspecific repolarization abnormalities,baixo risco
"Probable anterolateral infarct, old",alto risco
Extensive ST-T changes may be due to myocardial infarct or CVA,alto risco
Lateral ST elevation - repeat if myocardial injury is suspected,alto risco
POSSIBLE ACUTE ANTEROLATERAL INFARCT,alto risco
Poor R wave progression - cannot rule out anteroseptal infarct,alto risco
"Marked precordial ST depression, CONSIDER ACUTE INFARCT",alto risco
Consider inferior infarct,alto risco
"Probable lateral infarct, age indeterminate",alto risco
Lateral ST elevation - cannot rule out myocardial injury,alto risco
Anteroseptal ST elevation suggests early repolarization,alto risco
Septal ST elevation - repeat if myocardial injury is suspected,alto risco
"Anterior infarct, age indeterminate",alto risco
OLD INFERIOR INFARCTION,alto risco
SHORT PR : POSSIBLE VENTRICULAR PREEXCITATION,alto risco
Wolff-Parkinson-White pattern type B,alto risco
QRS changes may be due to LVH but cannot rule out anteroseptal infarct,alto risco
Anteroseptal ST-T changes suggest myocardial infarct,alto risco
Anterior T wave changes are borderline abnormal for age/sex,baixo risco
"Anteroseptal infarct, acute",alto risco
Extensive T wave changes suggest myocardial infarct,alto risco
"Inferoposterior infarct, age indeterminate",alto risco
Inferior/lateral ST-T changes may be normal for age,baixo risco
Consider acute anteroseptal infarct,alto risco
Consider old anteroseptal infarct,alto risco
Anterior T wave changes are normal for age,baixo risco
(9@128) suggests early repolarization,baixo risco
Anterolateral T wave changes suggest myocardial infarct,alto risco
"Probable inferior infarct, old",alto risco
"Borderline ST elevation, inferior leads",alto risco
Inferior/lateral ST-T changes suggest myocardial infarction,alto risco
Inferior ST changes may be normal for age,baixo risco
POSSIBLE ANTERIOR INFARCTION - AGE UNDETERMINED,alto risco
POSSIBLE OLD ANTEROSEPTAL INFARCTION,alto risco
Anterolateral ST elevation - cannot rule out myocardial injury,alto risco
Inferior and lateral ST elevation - cannot rule out myocardial injury,alto risco
Ant/septal+lateral T wave changes suggest myocardial infarction,alto risco
"Extensive ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Inferoposterior infarct, acute",alto risco
"Anterior ST elevation, probably due to LVH",alto risco
"Posterior infarct, acute",alto risco
PROBABLE OLD SEPTAL INFARCTION,alto risco
QRS changes V3/V4 - probably due to LVH but consider anterior infarct,alto risco
Probable acute inferior infarct,alto risco
Consider Wolff-Parkinson-White pattern type B,alto risco
"Inferior + anterior ST elevation, consider recent infarction",alto risco
Inferior ST elevation - repeat if myocardial injury is suspected,alto risco
PROBABLE INFERIOR INFARCTION - AGE UNDETERMINED,alto risco
Inferior + anterior T wave change are borderline abnormal for age/sex,baixo risco
"Probable anterior infarct, old",alto risco
Short PR interval are borderline abnormal for age/sex,baixo risco
Extensive T wave changes suggest myocardial infarction,alto risco
"Anterior infarct, possibly acute",alto risco
Anteroseptal infarct - possibly acute,alto risco
Old anteroseptal infarct,alto risco
PROBABLE OLD INFERIOR INFARCTION,alto risco
"Inferior and lateral ST elevation, CONSIDER ACUTE INFARCT",alto risco
"ST elevation, consider lateral injury",alto risco
"Inferolateral infarct, acute",alto risco
Consider anteroseptal infarct - age undetermined,alto risco
"Anterolateral Q wave, probably normal for age",baixo risco
Anteroseptal T wave changes suggest myocardial infarction,alto risco
PROBABLE ANTEROSEPTAL INFARCTION - AGE UNDETERMINED,alto risco
Probable old anterior infarct,alto risco
*** LATERAL INFARCT - POSSIBLY ACUTE ***,alto risco
"Lateral infarct, recent",alto risco
Septal T wave changes are abnormal for age/sex,baixo risco
Anteroseptal ST elevation - repeat if myocardial injury is suspected,alto risco
Inferior and lateral ST elevation may be a normal variant for age,alto risco
Possible acute anterior infarct,alto risco
POSSIBLE OLD SEPTAL INFARCTION,alto risco
Inferior T wave changes are borderline abnormal for age/sex,baixo risco
Anterolateral ST-T changes suggest myocardial infarct,alto risco
"Probable anteroseptal infarct, acute",alto risco
Probable septal infarct - age undetermined,alto risco
High QRS voltage - probable normal variant,baixo risco
Old lateral infarct,alto risco
"Inferior and ant/septal ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Anterolateral infarct, old",alto risco
"Probable anterior infarct, acute",alto risco
POSSIBLE ACUTE SEPTAL INFARCT,alto risco
Ant/septal and lateral ST-T changes suggest myocardial infarct,alto risco
Anterior ST-T changes are abnormal for age/sex,baixo risco
Extensive ST changes are borderline abnormal for age/sex,baixo risco
Extensive ST-T changes suggest myocardial infarction,alto risco
"LAD, consider LAFB or inferior infarct",alto risco
QRS changes in V2 probably due to LVH but consider septal infarct,alto risco
Anterior ST elevation may be a normal variant for age,alto risco
Anteroseptal infarct - probably acute,alto risco
Consider septal infarct,alto risco
NON-SUSTAINED VENTRICULAR TACHYCARDIA,alto risco
PROBABLE OLD ANTEROSEPTAL INFARCTION,alto risco
Probable recent anteroseptal infarct,alto risco
Extensive T wave changes may be due to myocardial infarct or CVA,alto risco
Anterolateral ST elevation,alto risco
Anterolateral ST-T changes are borderline abnormal for age/sex,baixo risco
QRS changes probably due to LVH but consider anteroseptal infarct,alto risco
Extensive ST-T changes are borderline abnormal for age/sex,baixo risco
Inferior + anterior ST-T change are borderline abnormal for age/sex,baixo risco
Abnormal Q suggests inferior infarct,alto risco
"Inferolateral infarct, old",alto risco
POSSIBLE ANTEROSEPTAL INFARCTION - AGE UNDETERMINED,alto risco
Inferior + anterior ST elevation - repeat if myocardial injury is suspected,alto risco
Extensive T wave changes are borderline abnormal for age/sex,baixo risco
Anterior T wave changes are abnormal for age/sex,baixo risco
"Anterior ST elevation, CONSIDER ACUTE INFARCT",alto risco
Possible anterolateral infarct - age undetermined,alto risco
Lateral ST elevation,alto risco
Inferior/lateral ST-T changes are abnormal for age/sex,baixo risco
Inferior ST-T changes suggest myocardial infarct,alto risco
PROBABLE LATERAL INFARCTION - AGE UNDETERMINED,alto risco
PROBABLE OLD LATERAL INFARCTION,alto risco
"Probable inferior infarct, acute",alto risco
"Inferior ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Extensive anterior infarct, old",alto risco
CHANGES IN V2 ARE PROBABLY DUE TO LEFT VENTRICULAR HYPERTROPHY BUT CONSIDER SEPTAL INFARCTION,alto risco
"Anterolateral ST elevation, CONSIDER ACUTE INFARCT",alto risco
Extensive ST-T changes may be due to myocardial infarction or CVA,alto risco
"Inferior infarct, recent",alto risco
Recent anterolateral infarct,alto risco
Septal ST elevation,alto risco
"Probable lateral infarct, old",alto risco
"Extensive ST elevation, consider recent infarction",alto risco
Poor R wave progression - cannot rule out septal infarct,alto risco
"Anterolateral ST elevation, consider recent infarction",alto risco
Inferior ST elevation may be a normal variant for age,alto risco
"Probable inferior infarct, recent",alto risco
Lateral T wave changes are abnormal for age/sex,baixo risco
Consider posterior infarct,alto risco
"Probable posterior infarct, recent",alto risco
Septal and lateral ST-T changes are consistent with myocardial ischemia,alto risco
Consider anteroseptal infarct,alto risco
Ant/septal and lateral T wave changes may be due to myocardial infarct or CVA,alto risco
Inferior and septal ST elevation - cannot rule out myocardial injury,alto risco
Anterolateral T wave changes are borderline abnormal for age/sex,baixo risco
"Anteroseptal infarct, possibly acute",alto risco
Consider anterolateral infarct,alto risco
"Extensive anterior infarct, acute",alto risco
Inferior ST elevation,alto risco
"Inferoposterior infarct, old",alto risco
"Probable anterolateral infarct, recent",alto risco
"Minimal ST elevation, anterior leads",alto risco
Lateral T wave changes are borderline abnormal for age/sex,baixo risco
Extensive T wave changes are consistent with myocardial ischemia,alto risco
Inferior/lateral ST-T changes suggest myocardial infarct,alto risco
Septal ST-T changes are normal for age,baixo risco
- sino-atrial 2nd degree Mobitz II block,alto risco
Consider septal infarct - age undetermined,alto risco
Recent anteroseptal infarct,alto risco
Inferior/lateral ST-T changes are consistent with myocardial ischemia,alto risco
Recent inferior infarct,alto risco
Inferior and anterior T wave changes suggest myocardial infarct,alto risco
Inferior infarct - possibly acute,alto risco
Septal T wave changes are consistent with myocardial ischemia,alto risco
"Septal ST elevation, consider recent infarction",alto risco
"Inferior and anterior ST elevation, CONSIDER ACUTE INFARCT",alto risco
Inferior and septal ST elevation - possible early repolarization,alto risco
Inferior/lateral ST-T changes are borderline abnormal for age/sex,baixo risco
Inferior+ant/septal ST elevation - repeat if myocardial injury is suspected,alto risco
Inferior + anterior T wave change are abnormal for age/sex,baixo risco
"Lateral infarct, old",alto risco
"Extensive ST elevation, consider recent extensive infarction",alto risco
Inferior/lateral T wave changes suggest myocardial infarct,alto risco
Extensive T wave changes are abnormal for age/sex,baixo risco
"Probable anterolateral infarct, acute",alto risco
Anteroseptal ST changes suggest myocardial infarct,alto risco
Borderline ST elevation,alto risco
Anterolateral ST elevation - repeat if myocardial injury is suspected,alto risco
Inferior and anterior ST-T changes suggest myocardial infarct,alto risco
POSSIBLE INFERIOR INFARCTION - AGE UNDETERMINED,alto risco
"Anterior infarct, recent",alto risco
"Minimal ST elevation, inferior leads",alto risco
Possible Wolff-Parkinson-White pattern type A,alto risco
Tall T waves - consider hyperkalemia,alto risco
Probable supraventricular tachycardia with fusion complexes,alto risco
Inferior + septal ST elevation - repeat if myocardial injury is suspected,alto risco
Anterior ST elevation,alto risco
POSSIBLE ACUTE LATERAL INFARCT,alto risco
Inferior and ant/septal T wave changes suggest myocardial infarct,alto risco
"Septal ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Anterolateral infarct, recent",alto risco
Probable anterolateral infarct - age undetermined,alto risco
"Posterior infarct, recent",alto risco
Possible acute inferior infarct,alto risco
Lateral ST-T changes are abnormal for age/sex,baixo risco
POSSIBLE ACUTE ANTERIOR INFARCTION,alto risco
Probable acute septal infarct,alto risco
Inferior ST-T changes are borderline abnormal for age/sex,baixo risco
Probable anterior infarct - age undetermined,alto risco
"Lateral infarct, age indeterminate",alto risco
Inferior and ant/septal ST-T changes suggest myocardial infarct,alto risco
CHANGES V3-V4 ARE PROBABLY DUE TO LEFT VENTRICULAR HYPERTROPHY BUT CONSIDER ANTERIOR INFARCTION,alto risco
"Inferolateral infarct, age indeterminate",alto risco
Acute anteroseptal infarct,alto risco
Anterior T wave changes suggest myocardial infarction,alto risco
Inferior + anterior ST-T change are abnormal for age/sex,baixo risco
Extensive ST-T changes are consistent with myocardial ischemia,alto risco
Anteroseptal T wave changes are abnormal for age/sex,baixo risco
LATERAL INFARCTION - AGE UNDETERMINED,alto risco
Septal T wave changes are borderline abnormal for age/sex,baixo risco
Consider inferoposterior infarct,alto risco
POSSIBLE ANTEROLATERAL INFARCTION - AGE UNDETERMINED,alto risco
Ant/septal and lateral ST-T changes may be due to myocardial infarct or CVA,alto risco
"Inferior ST elevation, consider recent infarction",alto risco
Septal ST elevation may be a normal variant for age,alto risco
Inferior/lateral ST changes may be normal for age,baixo risco
Inferior T wave changes suggest myocardial infarct,alto risco
Ant/septal+lateral ST-T changes are borderline abnormal for age/sex,baixo risco
Anteroseptal T wave changes are borderline abnormal for age/sex,baixo risco
Lateral ST elevation - probable post operative pericarditis,alto risco
Tall inferior P waves - possible right atrial abnormality are borderline abnormal for age/sex,baixo risco
CONSIDER ANTERIOR MYOCARDIAL INFARCTION,alto risco
Consider acute septal infarct,alto risco
"Lateral infarct, acute (LAD)",alto risco
Possible ectopic atrial rhythm with non-sustained ventricular tachycardia,alto risco
"Inferior and septal ST elevation, CONSIDER ACUTE INFARCT",alto risco
Inferior and anterior ST elevation - cannot rule out myocardial injury,alto risco
"Probable lateral infarct, recent",alto risco
Probable recent anterior infarct,alto risco
"Minimal ST elevation, diffuse leads",alto risco
Lateral ST-T changes are borderline abnormal for age/sex,baixo risco
Anterior ST-T changes are borderline abnormal for age/sex,baixo risco
Possible Wolff-Parkinson-White pattern type B,alto risco
"Lateral ST elevation, CONSIDER ACUTE INFARCT",alto risco
Acute septal infarct,alto risco
Inferior and ant/septal ST elevation - cannot rule out myocardial injury,alto risco
Anterolateral ST-T changes are consistent with myocardial ischemia,alto risco
OLD LATERAL INFARCTION,alto risco
Inferior/lateral T changes may be normal for age,baixo risco
PROBABLE SEPTAL INFARCTION - AGE UNDETERMINED,alto risco
Anterior T wave changes are normal for age and race,baixo risco
OLD ANTEROSEPTAL INFARCTION,alto risco
Septal ST elevation - possible early repolarization,alto risco
Normal ECG except for rate,baixo risco
Normal ECG,baixo risco
Borderline ECG,baixo risco
Probable acute anteroseptal infarct,alto risco
POSSIBLE EARLY REPOLARIZATION,baixo risco
"Anteroseptal ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Lateral ST elevation, consider recent infarction",alto risco
ANTEROSEPTAL INFARCTION - AGE UNDETERMINED,alto risco
CONSIDER SEPTAL INFARCT THOUGH CHANGES IN V2 MAY BE DUE TO LVH,alto risco
"Posterior infarct, acute (LCx)",alto risco
Inferior/lateral T changes are borderline abnormal for age/sex,baixo risco
Inferior/lateral T wave changes may be due to myocardial infarct or CVA,alto risco
Old anterior infarct,alto risco
Lateral ST elevation - probable extension of infarct,alto risco
Ant/septal+lateral ST-T changes suggest myocardial infarction,alto risco
Tall T waves suggest hyperkalemia,alto risco
"Probable posterior infarct, acute",alto risco
Inferior and lateral ST elevation - probable extension of infarct,alto risco
Delta wave V5/V6 + tall R in V5,alto risco
BORDERLINE ABNORMAL FOR AGE AND GENDER,baixo risco
BORDERLINE ABNORMAL FOR AGE AND SEX. INTERPRET TOGETHER WITH CLINICAL DATA,baixo risco
CONSIDER RECENT ANTEROLATERAL INFARCTION,alto risco
Inferior+ant/septal ST-T changes are borderline abnormal for age/sex,baixo risco
ST elevation also present,alto risco
Probable recent lateral infarct,alto risco
Consider anterolateral infarct - age undetermined,alto risco
CHANGES ARE PROBABLY DUE TO LVH BUT CONSIDER ANTEROSEPTAL INFARCT,alto risco
Anterolateral ST elevation - probable post operative pericarditis,alto risco
Anteroseptal ST-T changes are abnormal for age/sex,baixo risco
Lateral ST elevation may be a normal variant for age,alto risco
Lateral ST-T changes may be due to myocardial infarct or CVA,alto risco
Possible acute lateral infarct,alto risco
Inferior+ant/septal ST elevation - possible early repolarization,alto risco
PROBABLE OLD ANTERIOR INFARCTION,alto risco
Anteroseptal ST changes are consistent with myocardial ischemia,alto risco
Anterior T wave changes suggest myocardial infarct,alto risco
CHANGES ARE ABNORMAL FOR AGE AND SEX. INTERPRET TOGETHER WITH CLINICAL DATA,baixo risco
SUGGESTS EARLY REPOLARIZATION,baixo risco
Inferior/lateral ST-T changes may be due to myocardial infarct or CVA,alto risco
CHANGES V2-V4 ARE PROBABLY RELATED TO POOR R WAVE PROGRESSION BUT ANTEROSEPTAL INFARCTION CANNOT BE EXCLUDED,alto risco
Probable supraventricular tachycardia with PVC(s).,alto risco
Lateral T wave changes may be due to myocardial infarct or CVA,alto risco
"Inferior and lateral ST elevation, consider recent infarction",alto risco
Inferior+ant/septal ST-T changes suggest myocardial infarction,alto risco
Anteroseptal ST depression is probably reciprocal to inferior infarct,alto risco
Recent lateral infarct,alto risco
Anteroseptal T wave changes may be due to myocardial infarction or CVA,alto risco
"Probable anterior infarct, recent",alto risco
Inferior+ant/septal T wave change are borderline abnormal for age/sex,baixo risco
Septal ST-T changes are borderline abnormal for age/sex,baixo risco
CHANGES ARE ABNORMAL FOR AGE AND GENDER.,baixo risco
PROBABLE ACUTE SEPTAL INFARCTION,alto risco
TALL T WAVES - CONSIDER ACUTE ISCHEMIA OR HYPERKALEMIA,alto risco
Septal T wave changes are normal for age and race,baixo risco
Extensive T wave changes may be due to myocardial infarction or CVA,alto risco
ST elevation + T wave inversion,alto risco
Anterolateral ST-T changes are abnormal for age/sex,baixo risco
Lateral T wave changes are consistent with myocardial ischemia,alto risco
Anterolateral ST-T changes may be due to myocardial infarct or CVA,alto risco
CONSIDER ANTERIOR INFARCTION THOUGH CHANGES MAY BE DUE TO LVH,alto risco
Lateral ST elevation - probable lateral extension of infarct,alto risco
Anterior T wave changes may be due to myocardial infarct or CVA,alto risco
Anterolateral T wave changes suggest myocardial infarction,alto risco
CONSIDER RECENT ANTERIOR INFARCTION,alto risco
CHANGES ARE PROBABLY DUE TO LVH BUT CONSIDER ANTERIOR INFARCT,alto risco
Within normal limits for age,baixo risco
Anteroseptal ST elevation may be a normal variant for age,alto risco
Anteroseptal ST elevation,alto risco
Probable acute anterolateral infarct,alto risco
Probable acute anterior infarct,alto risco
Acute anterolateral infarct,alto risco
Probable recent septal infarct,alto risco
Extensive ST elevation suggests post operative pericarditis,alto risco
Inferior/lateral ST-T changes may be due to myocardial infarction or CVA,alto risco
Inferior ST-T changes are abnormal for age/sex,baixo risco
Anterolateral ST-T changes suggest myocardial infarction,alto risco
Anterior ST-T changes suggest myocardial infarct,alto risco
Inferior/lateral T wave changes are consistent with myocardial ischemia,alto risco
Anterolateral T wave changes are abnormal for age/sex,baixo risco
Inferior and anterior T wave changes are consistent with myocardial ischemia,alto risco
"Anterolateral infarct, possibly acute",alto risco
Inferior and lateral ST elevation- possible early repolarization,alto risco
Inferior + ant/septal ST elevation,alto risco
Marked ant/septal STj depression is probably reciprocal to inferior infarct,alto risco
"Probable inferolateral infarct, age indeterm",alto risco
Septal ST changes are borderline abnormal for age/sex,baixo risco
Consider Wolff-Parkinson-White pattern type A,alto risco
EARLY REPOLARIZATION,baixo risco
Anteroseptal ST elevation - probable post operative pericarditis,alto risco
Inferior+ant/septal T wave change suggest myocardial infarction,alto risco
Possible delta wave + tall R V5,alto risco
STRONGLY SUGGESTS MYOCARDIAL INFARCTION,alto risco
Old anterolateral infarct,alto risco
POSSIBLE LATERAL INFARCTION - AGE UNDETERMINED,alto risco
Summary: NORMAL ECG EXCEPT FOR RATE,baixo risco
Summary: TACHYCARDIA - OTHERWISE NORMAL,baixo risco
