frase,arquivo,superclasse,risco,trigger_score
"RESULTADOS DE EFICÁCIA A amiodarona tem sido utilizada para suprimir um grande número de arritmias supraventricular e ventricular no útero, em adultos e crianças incluindo AV nodal, taquicardia juncional, flutter e fibrilação atrial, taquicardia ventricular e fibrilação ventricular associada com doença arterial coronária e cardiomiopatia hipertrófica.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"- retardo da condução betabloqueadoressinoatrial, atrial e nodal, mais nítido quando a frequência cardíaca é mais rápida;",bula_profissional_amiodarona_filtrado.txt,CD,alto,0
"A amiodarona e a desetilamiodarona tem também um potencial para inibir alguns transportadores, tais como a glicoproteína-P e o transportador de cátions orgânicos - OCT2 (um estudo mostra um aumento de 1,1% na concentração de creatinina, um substrato de OCT2).",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
O clearance plasmático da amiodarona é baixo e a excreção renal insignificante o que permite o emprego de Ancoron® nas posologias habituais nos pacientes com insuficiência renal.,bula_profissional_amiodarona_filtrado.txt,CD,alto,2
ANCO_V.21-22 3 Todas estas contraindicações listadas não se aplicam quando a amiodarona é utilizada na sala de emergência em casos de fibrilação ventricular resistente à ressuscitação cardiopulmonar por choque (desfibrilador).,bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Os pacientes recebendo esses medicamentos para hepatite C com amiodarona, com ou sem outros medicamentos que diminuem a frequência cardíaca, devem ser advertidos sobre os sintomas de bradicardia e bloqueio cardíaco e, caso ocorra, devem ser orientados a procurar imediatamente um médico.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
Reações adversas”) O aparecimento de dispneia ou tosse não produtiva pode estar relacionado à toxicidade pulmonar tal como pneumonite intersticial.,bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Deve-se realizar raio-X de tórax, quando há suspeita de pneumonite em pacientes que desenvolveram dispneia de esforço, isolada ou associada com piora do estado geral (fadiga, perda de peso, febre).",bula_profissional_amiodarona_filtrado.txt,CD,alto,0
"Podem ocorrer distúrbios hepáticos agudos (incluindo insuficiência hepatocelular severa ou insuficiência hepática, algumas vezes fatal) e crônicos, com o uso de amiodarona nas formas oral e intravenosa e nas primeiras 24 horas da administração por via IV.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
"Os sinais clínicos e biológicos de insuficiência hepática crônica decorrentes do uso oral de amiodarona podem ser mínimos (hepatomegalia, aumento das transaminases em até 5 vezes os valores normais) e reversíveis após a suspensão do tratamento, contudo foram relatados casos fatais.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Se sinais ou sintomas de SSJ, NET (rash cutâneo progressivo frequentemente com bolha ou lesão na mucosa) aparecerem, o tratamento com amiodarona deve ser descontinuado imediatamente.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Interações medicamentosa”) O uso concomitante de amiodarona não é recomendado com os seguintes fármacos: betabloqueadores, bloqueadores de canais de cálcio (verapamil, diltiazem), laxantes que podem causar hipocalemia.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"As características clínicas, normalmente sem importância, como a perda de peso, princípio de arritmia, angina e insuficiência cardíaca congestiva devem alertar o médico.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"O tratamento deve ser ajustado individualmente: medicamentos antitireoidianos (que nem sempre são efetivos), terapia com corticosteroides, betabloqueadores.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Em particular, no contexto da administração crônica de medicamentos antiarrítmicos, foram relatados casos de aumento na desfibrilação ventricular e/ou limiar de estimulação do marca-passo ou do dispositivo cardioversor desfibrilador implantável, afetando potencialmente sua eficácia.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"- betabloqueadores e bloqueadores do canal de cálcio que reduzem a frequência cardíaca (verapamil, diltiazem), uma vez que podem ocorrer distúrbios de automatismo (bradicardia excessiva) e de condução;",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Reações adversas”) Foram relatadas complicações potencialmente severas em pacientes submetidos à anestesia geral: bradicardia (irresponsiva à atropina), hipotensão, distúrbios da condução, redução do débito cardíaco.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
Substratos P-gp A amiodarona é um inibidor da P-gp.,bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Substratos do CYP P450 3A4 Quando tais substâncias são administradas concomitantemente com amiodarona, um inibidor do CYP3A4, pode ocorrer um aumento de suas concentrações no plasma, o que poderá acarretar num possível aumento de sua toxicidade.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
Efeito de outros produtos sobre Ancoron® Os inibidores do CYP 3A4 e do CYP 2C8 podem ter um potencial para inibir o metabolismo da amiodarona e aumentar a sua exposição.,bula_profissional_amiodarona_filtrado.txt,CD,alto,3
"Recomenda-se evitar inibidores do CYP 3A4 (por exemplo, suco de toranja e determinados medicamentos) durante o tratamento com amiodarona.",bula_profissional_amiodarona_filtrado.txt,CD,alto,3
"Advertências e precauções”) A administração concomitante de amiodarona com sofosbuvir em combinação com outro antiviral de ação direta sobre o vírus da Hepatite C (como daclatasvir, simeprevir ou ledipasvir) não é recomendada, pois pode levar a bradicardia sintomática grave.",bula_profissional_amiodarona_filtrado.txt,CD,alto,3
"Muito raro Distúrbios gastrintestinais Distúrbios gastrintestinais benignos (náuseas, vômitos, disgeusia) podem ocorrer em decorrência da dose de ataque e desaparecem com a redução da dose Muito comum Pancreatite/pancreatite aguda, boca seca, constipação Desconhecida Distúrbios gerais Granuloma, incluindo granuloma de medula óssea.",bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Os níveis podem retornar ao normal com redução da dose ou mesmo espontaneamente Muito comum Distúrbios hepáticos agudos com aumento das transaminases séricas e/ou icterícia, incluindo insuficiência hepática, que às vezes pode ser fatal Comum Doença hepática crônica (pseudo hepatite alcoólica, cirrose), às vezes, fatal Muito raro Distúrbios do sistema imunológico Edema angioneurótico (Edema de Quincke), reações anafiláticas/anafilactoides incluindo choque.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
"Desconhecida Aumento do nível sérico de creatinina Muito raro Distúrbios do metabolismo e nutrição Diminuição do apetite Desconhecida Distúrbios musculoesquelético e do tecido conjuntivo Síndrome lupus-like Desconhecida Distúrbios do sistema nervoso Tremor extrapiramidal, pesadelos e distúrbios do sono Comum Neuropatia periférica sensorimotor e/ou miopatia são geralmente reversíveis com a descontinuação do tratamento Incomum ANCO_V.21-22 9 Ataxia cerebelar, hipertensão intracraniana benigna (pseudo tumor cerebral), cefaleia Muito raro Parkinsonismo, parosmia Desconhecida Distúrbios psiquiátricos Estado confusional/delírio, alucinação Desconhecida Distúrbios mamários e do sistema reprodutivo Epididimites, disfunção erétil Muito raro Diminuição da libido Desconhecida Distúrbios respiratórios, torácicos e no mediastino Toxicidade pulmonar (pneumonite alveolar/ intersticial ou fibrose, pleurite, bronquiolite obliterante com pneumonia em organização) às vezes fatal (ver item “5.",bula_profissional_amiodarona_filtrado.txt,CD,alto,3
"Advertências e precauções”) Comum Hemorragia pulmonar Desconhecida Broncoespasmo em pacientes com insuficiência respiratória severa, especialmente em pacientes asmáticos.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
Interações medicamentosas”) Muito raro Distúrbios da pele e tecidos subcutâneos Fotossensibilidade Muito comum Pigmentação grisácea ou azulada da pele no caso de utilização prolongada ou de altas doses diárias.,bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Com a interrupção do tratamento essa pigmentação desaparece lentamente Comum Eritema durante o uso de radioterapia, rash cutâneos, normalmente inespecíficos, dermatite esfoliativa, alopecia Muito raro Eczema, urticária, reações cutâneas severas, às vezes, fatais incluindo necrólise epidérmica tóxica/síndrome de Stevens-Johnson, dermatite bolhosa e reação medicamentosa com eosinofilia e sintomas sistêmicos Desconhecida Distúrbios vasculares Vasculite Muito raro Em casos de eventos adversos, notifique pelo Sistema VigiMed, disponível no Portal da Anvisa.",bula_profissional_amiodarona_filtrado.txt,CD,alto,2
SUPERDOSE Sintomas Não há muitos dados disponíveis sobre superdose de amiodarona oral.,bula_profissional_amiodarona_filtrado.txt,CD,alto,1
"Foram relatados alguns casos de bradicardia sinusal, bloqueio cardíaco, taquicardia ventricular, Torsade de Pointes, insuficiência circulatória e disfunção hepática.",bula_profissional_amiodarona_filtrado.txt,CD,alto,0
"Síndrome coronária aguda: nos pacientes com SCA sem elevação do segmento ST (angina instável ou IM sem onda Q), incluindo tanto aqueles controlados clinicamente, quanto os submetidos à Intervenção Coronária Percutânea (ICP) (com ou sem colocação de stent), o bissulfato de clopidogrel demonstrou uma redução na taxa de ocorrência do desfecho combinado de morte cardiovascular, IM ou AVC, assim como na taxa de ocorrência do desfecho combinado de morte cardiovascular, IM, AVC ou isquemia refratária.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"RESULTADOS DE EFICÁCIA A evidência clínica para a eficácia de clopidogrel é derivada de cinco estudos duplo-cegos envolvendo mais de 88.000 pacientes: o estudo CAPRIE [clopidogrel vs ácido acetilsalicílico (AAS) em pacientes com risco de eventos isquêmicos], uma comparação de clopidogrel com AAS, e o estudo CURE (clopidogrel na angina instável para prevenir eventos isquêmicos recorrentes), o CLARITY-TIMI 28 (clopidogrel como terapia de reperfusão adjuntivo-trombólise no IM) e os estudos COMMIT/CCS-2 (estudo de clopidogrel e metoprolol no IM/segundo estudo cardíaco chinês) e o estudo ACTIVE-A (estudo do clopidogrel com irbesartana na prevenção de eventos vasculares na fibrilação atrial) comparando clopidogrel com placebo, ambos administrados em associação com AAS e outra terapia padrão.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"Síndrome Coronária Aguda (SCA) BULA PARA PROFISSIONAL DA SAÚDE – RDC 47/2009 Bissulfato de Clopidogrel_VPS_01.2019 4 O estudo CURE (The CURE Trial Investigators, 2001) incluiu 12.562 pacientes com Síndrome Coronariana Aguda (SCA) sem elevação do segmento ST (angina instável ou IM sem onda Q) apresentando quadro de dor precordial ou sintomas consistentes com isquemia dentro das 24 horas.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"A porcentagem de pacientes que apresentou o desfecho primário (óbito cardiovascular, IM ou AVC isquêmico), foi 9,3% no grupo tratado com clopidogrel e 11,41% no grupo placebo, com 20% de redução do risco relativo para o grupo tratado com clopidogrel.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"O estudo COMMIT incluiu 45.852 pacientes com sintomas suspeitos de IM há menos de 24 horas, com anormalidades no ECG (isto é, elevação ST, depressão ST, bloqueio do ramo esquerdo).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
Descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda (SCA) A mudança de um inibidor do receptor P2Y12 mais potente para o clopidogrel em associação com a aspirina após a fase aguda da SCA foi avaliada em dois estudos randomizados patrocinados pelo investigador - TOPIC e TROPICAL-SCA - com dados de resultados clínicos.,bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"O benefício clínico proporcionado pelos inibidores P2Y12 mais potentes, ticagrelor e prasugrel, em seus estudos principais, está relacionado a uma redução significativa dos eventos isquêmicos recorrentes (incluindo trombose aguda e subaguda de stent, infarto do miocárdio e revascularização urgente).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
"Em contraste, as análises post-hoc demonstraram aumentos estatisticamente significativos no risco de sangramento com os inibidores P2Y12 mais potentes, ocorrendo predominantemente durante a fase de manutenção, após o primeiro mês pós-SCA.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
"TOPIC (tempo de inibição de plaquetas após a Síndrome Coronária Aguda) Este estudo aberto, randomizado e patrocinado pelo investigador incluiu pacientes com SCA que necessitaram de Intervenção Coronária Percutânea (ICP).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
Pacientes utilizando aspirina e um bloqueador P2Y12 mais potente e sem eventos adversos em um mês foram designados a trocar a dose fixa de aspirina por clopidogrel (descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda) ou a continuação de seu esquema medicamentoso (descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda inalterado).,bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"No total, 645 dos 646 pacientes com STEMI (infarto do miocárdio com elevação do segmento ST) ou NSTEMI (infarto do miocárdio sem elevação do segmento ST) ou angina instável foram analisados (descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda (n = 322);",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda inalterado (n = 323)).,bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"Foi realizado acompanhamento por 1 ano com 316 pacientes (98,1%) no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda, e 318 pacientes (98,5%) no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda inalterado.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"O desfecho primário, um composto de morte cardiovascular, acidente vascular cerebral, revascularização urgente e BARC (Bleeding Academic Research Consortium) sangramento ≥ 2 em 1 ano pós SCA, ocorreu em 43 pacientes (13,4%) no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda e em 85 pacientes (26,3%) no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda inalterado (p <0,01).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"Esta diferença estatisticamente significativa foi principalmente causada por menos eventos de sangramento, sem diferença relatada em desfechos isquêmicos (p = 0,36), enquanto BARC sangramento ≥ 2 ocorreu com menos frequência no grupo com BULA PARA PROFISSIONAL DA SAÚDE – RDC 47/2009 Bissulfato de Clopidogrel_VPS_01.2019 6 descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda (4,0%) versus 14,9% no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda inalterado (p <0,01).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,4
"Os eventos de sangramento definidos como todos os BARC ocorreram em 30 pacientes (9,3%) no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda e em 76 pacientes (23,5%) no grupo descalonamento de agentes inibidores P2Y12 na Síndrome Coronária Aguda inalterado (p <0,01).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"TROPICAL-SCA (testando a capacidade de resposta à inibição plaquetária no tratamento antiplaquetário crônico na Síndrome Coronária Aguda) O estudo aberto, randomizado e patrocinado pelo investigador incluiu 2.610 pacientes com SCA positivos para biomarcadores após Intervenção Coronária Percutânea (ICP) bem-sucedida.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
"Um total de 23,0% dos pacientes recebeu antiarrítmicos, 52,1% betabloqueadores, 54,6% inibidores da ECA e 25,4% estatinas.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
"BULA PARA PROFISSIONAL DA SAÚDE – RDC 47/2009 Bissulfato de Clopidogrel_VPS_01.2019 8 REFERÊNCIAS BIBLIOGRÁFICAS Sabatine MS, Cannon CP, Gibson CM, et al: Effect of clopidogrel pretreatment before percutaneous coronary intervention in patients with ST-elevation myocardial infarction treated with fibrinolytics.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
the Clopidogrel in Unstable Angina to Prevent Recurrent Events Trial Investigators (CURE).,bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"CARACTERÍSTICAS FARMACOLÓGICAS Farmacodinâmica O clopidogrel é um pró-fármaco, e um de seus metabólitos é inibidor da agregação plaquetária.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
Os alelos CYP2C19*2 e CYP2C19*3 são responsáveis pela maioria dos alelos para função reduzida em metabolizadores lentos brancos (85%) e asiáticos (99%).,bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"Um paciente em condição de metabolizador lento irá possuir dois alelos sem função, conforme descrito anteriormente.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"As frequências divulgadas para os genótipos dos metabolizadores lentos de CYP2C19 são aproximadamente 2% para brancos, 4% para negros e 14% para chineses.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"Um estudo cruzado em 40 indivíduos sadios, 10 em cada grupo de metabolizadores da CYP2C19 (ultrarrápido, extensivo, intermediário e lento), avaliou a farmacocinética e a reposta antiplaquetária usando 300 mg seguido de 75 mg/dia e 600 mg seguido de 150 mg/dia, em um total de 5 dias (estado de equilíbrio).",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"Não foram observadas diferenças fundamentais na exposição do metabólito ativo e inibição média de agregação plaquetária (IAP) entre metabolizadores ultrarrápidos, extensivos e intermediários.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"Em metabolizadores lentos, a exposição do metabólito ativo foi reduzida em 63-71% comparada aos metabolizadores extensivos.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"Após a posologia de 300 mg/75 mg, as respostas antiplaquetárias foram reduzidas nos metabolizadores lentos com IAP médio (ADP 5 μM) de 24% (24 horas) e 37% (dia 5) quando comparado a IAP de 39% (24 horas) e 58% (dia 5) nos metabolizadores extensivos e 37% (24 horas) e 60% (dia 5) nos metabolizadores intermediários.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"Quando os metabolizadores lentos receberam a dose de 600 mg/150 mg, a exposição do metabólito ativo foi maior que com a dose de 300 mg/75 mg.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"Adicionalmente, a IAP foi 32% (24 horas) e 61% (dia 5), os quais foram maiores que em metabolizadores lentos recebendo dose de 300 mg/75 mg, e foram similares ao outro grupo de metabolizadores da CYP2C19 recebendo a dose de 300 mg/75 mg.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"Em uma metanálise incluindo 6 estudos com 335 indivíduos tratados com clopidogrel no estado de equilíbrio, foi demonstrado que a exposição ao metabólito ativo diminuiu em 28% para metabolizadores intermediários, e 72% para metabolizadores lentos enquanto a inibição da agregação plaquetária (ADP 5 μM) foi reduzida com diferenças na IAP de 5,9% e 21,4%, respectivamente, quando comparada aos metabolizadores extensivos.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"Em 3 dos estudos de coorte (Collet, Sibbing, Giusti) e TRITON-TIMI 38 o grupo combinado de pacientes com estado metabolizador intermediário ou lento tiveram uma taxa maior de eventos cardiovasculares (morte, IM e AVC) ou trombose de stent comparada aos metabolizadores extensivos.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"Em um estudo de coorte (Simon) e CHARISMA, uma taxa de evento aumentada foi observada somente em metabolizadores lentos quando comparado aos metabolizadores extensivos.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"Em um estudo de coorte (Trenk), CURE, CLARITY e ACTIVE-A, não foi observado taxa de evento aumentado nos estados dos metabolizadores.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
Nenhuma destas análises foi adequadamente classificada para detectar diferenças nos resultados nos metabolizadores lentos.,bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"- Pacientes com insuficiência hepática Após doses repetidas de 75 mg diários de bissulfato de clopidogrel por 10 dias em pacientes com insuficiência hepática severa, a inibição da agregação plaquetária induzida por ADP foi semelhante à observada em indivíduos saudáveis.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"- Pacientes com insuficiência renal Após doses diárias repetidas de 75 mg de bissulfato de clopidogrel, em pacientes com insuficiência renal severa (clearance de creatinina de 5 a 15 mL/min), a inibição da agregação plaquetária induzida pelo ADP foi menor (25%) que aquela observada em voluntários saudáveis, porém, o prolongamento do tempo de sangramento foi similar ao de indivíduos saudáveis que receberam 75 mg de bissulfato de clopidogrel por dia.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"- Toxicidade aguda BULA PARA PROFISSIONAL DA SAÚDE – RDC 47/2009 Bissulfato de Clopidogrel_VPS_01.2019 12 Em doses muito elevadas (≥ 1.500 mg/kg), uma tolerância gástrica fraca (erosões gástricas e/ou vômitos) de clopidogrel foi relatada em ratos, camundongos e babuínos.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,3
"- Toxicidade crônica Durante estudos pré-clínicos em ratos e babuínos, os efeitos mais frequentemente observados em doses muito altas (mais de 300 vezes a dose terapêutica de 75 mg/dia com base em mg/kg) foram gastrite aguda, erosões gástricas e/ou vômitos.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,1
"Os achados do fígado foram uma consequência de um efeito nas enzimas metabolizadoras hepáticas observadas em altas doses, um fenômeno geralmente reconhecido como não tendo relevância para humanos que recebem doses terapêuticas mais baixas.",bula_profissional_clopidogrel_filtrado.txt,MI,alto,2
"ADVERTÊNCIAS E PRECAUÇÕES Distúrbios hematológicos e sangramento Devido ao risco de sangramento e efeitos hematológicos indesejáveis, a contagem de células sanguíneas e/ou outros testes apropriados devem ser considerados sempre que surgirem sintomas clínicos suspeitos durante o tratamento (vide “Reações",bula_profissional_clopidogrel_filtrado.txt,MI,alto,0
